Round,ACC,NMI,Objective,LearningRate
1,0.971400,0.831456,600.659664,0.0035
2,0.984947,0.901939,575.472893,0.0035
3,0.990968,0.934585,575.382655,0.0035
4,0.990968,0.934585,575.388601,0.0035
5,0.990968,0.934585,575.377202,0.0035
6,0.990968,0.934585,575.372499,0.0035
7,0.990968,0.934585,575.371134,0.0035
8,0.990968,0.934585,575.370777,0.0035
9,0.990968,0.934585,575.370687,0.0035
10,0.990968,0.934585,575.370665,0.0035
