Round,ACC,NMI,Objective,LearningRate
1,0.967888,0.811454,647.673752,0.003181818182
2,0.984446,0.899395,657.088729,0.002916666667
3,0.986453,0.909715,696.580523,0.002692307692
4,0.986453,0.909715,735.703732,0.0025
5,0.985951,0.907098,774.140929,0.002333333333
6,0.985951,0.907098,811.964485,0.0021875
7,0.985951,0.907098,849.201388,0.002058823529
8,0.983442,0.894375,885.868736,0.001944444444
9,0.983442,0.894375,921.980830,0.001842105263
10,0.983442,0.894375,957.550109,0.00175
