Round,ACC,NMI,Objective
1,0.977355,0.861712,508.679405
2,0.993309,0.948535,487.220323
3,0.999485,0.994141,486.079118
4,1.000000,1.000000,485.906193
5,1.000000,1.000000,485.872872
6,0.999485,0.994142,485.866054
7,0.999485,0.994142,485.864596
8,0.999485,0.994142,485.864269
9,0.999485,0.994142,485.864193
10,0.999485,0.994142,485.864174
