Round,ACC,NMI,Objective
1,0.971400,0.831456,600.659664
2,0.984947,0.901939,575.472893
3,0.990968,0.934585,575.382655
4,0.990968,0.934585,575.388601
5,0.990968,0.934585,575.377202
6,0.990968,0.934585,575.372499
7,0.990968,0.934585,575.371134
8,0.990968,0.934585,575.370777
9,0.990968,0.934585,575.370687
10,0.990968,0.934585,575.370665
